,date,isLianban,isLianbanST,isZTShiti,isZhangting,isZTT,isZhangtingOne,isEatDTBan,preZTcurDT,isEatZTBread,isLianbanBZ,isDTT,isDietingOne,isDieting,isZhaban,isEatTDBan,isFitBaopo,SysChooseNo1,SameSysChooseNo1,ZJNo1,ZJlt30No1,ALLHSNo1,index_num_ten,TBang
0,20191202,9,5,22,29,1,7,0,0,1,8,0,0,3,15,0,1,4-青海华鼎-600243.SH-实体-青海-18.0,,1-共达电声-002655.SZ-实体-山东-4.0,1-共达电声-002655.SZ-实体-山东-4.0,3-龙星化工-002442.SZ-实体-河北-24.0,2,0
0,20191203,8,4,28,36,0,8,0,1,0,9,0,1,3,12,0,0,3-华森制药-002907.SZ-实体-重庆-7.0,3-万通智控-300643.SZ,0,0,3-万通智控-300643.SZ-实体-浙江-28.0,0,0
0,20191204,13,8,20,27,0,7,0,0,0,8,0,0,2,16,0,1,4-万通智控-300643.SZ-实体-浙江-31.0,,1-漫步者-002351.SZ-实体-深圳-10.0,1-漫步者-002351.SZ-实体-深圳-10.0,2-泉峰汽车-603982.SH-实体-江苏-15.0,1,0
0,20191205,11,5,30,38,0,8,0,0,0,13,0,1,1,15,0,0,5-万通智控-300643.SZ-实体-浙江-32.0,,1-麦克奥迪-300341.SZ-实体-福建-8.0,1-麦克奥迪-300341.SZ-实体-福建-8.0,3-泉峰汽车-603982.SH-实体-江苏-20.0,3,0
0,20191206,15,9,37,45,3,8,0,0,0,11,0,2,3,13,0,0,6-万通智控-300643.SZ-实体-浙江-37.0,,3-漫步者-002351.SZ-实体-深圳-19.0,1-水晶光电-002273.SZ-实体-浙江-8.0,3-漫步者-002351.SZ-实体-深圳-19.0,4,0
0,20191209,14,9,24,30,1,6,0,0,0,15,0,1,4,18,0,3,4-漫步者-002351.SZ-实体-深圳-23.0,4-南宁百货-600712.SH,1-四方精创-300468.SZ-实体-深圳-12.0,4-漫步者-002351.SZ-实体-深圳-23.0,3-劲拓股份-300400.SZ-实体-深圳-6.0,2,0
0,20191210,14,8,35,42,0,7,0,0,0,14,0,2,2,12,0,1,5-漫步者-002351.SZ-实体-深圳-29.0,5-南宁百货-600712.SH,1-三安光电-600703.SH-实体-湖北-10.0,5-漫步者-002351.SZ-实体-深圳-29.0,4-劲拓股份-300400.SZ-实体-深圳-9.0,6,0
0,20191211,11,5,26,35,4,9,0,1,1,14,0,4,5,19,0,1,6-南宁百货-600712.SH-非实体-广西-11.0,,1-东方通-300379.SZ-实体-北京-11.0,1-东方通-300379.SZ-实体-北京-11.0,3-钢研纳克-300797.SZ-实体-北京-27.0,2,0
0,20191212,9,6,27,33,1,6,0,3,2,11,0,3,6,21,2,0,7-南宁百货-600712.SH-非实体-广西-11.0,,1-聚飞光电-300303.SZ-实体-深圳-12.0,1-聚飞光电-300303.SZ-实体-深圳-12.0,3-晶方科技-603005.SH-实体-江苏-19.0,2,0
0,20191213,7,4,34,39,1,5,0,0,0,9,0,1,2,19,0,3,8-南宁百货-600712.SH-实体-广西-13.0,,1-同花顺-300033.SZ-实体-浙江-6.0,1-同花顺-300033.SZ-实体-浙江-6.0,2-田中精机-300461.SZ-实体-浙江-12.0,5,0
0,20191216,12,10,56,62,1,6,0,0,0,7,0,0,0,16,0,0,9-南宁百货-600712.SH-实体-广西-23.0,,2-中信建投-601066.SH-实体-北京-13.0,1-长信科技-300088.SZ-实体-安徽-6.0,2-星期六-002291.SZ-实体-广东-17.0,8,0
0,20191217,19,15,46,52,2,6,0,0,1,12,0,0,0,30,0,1,4-东睦股份-600114.SH-实体-浙江-7.0,,3-南京证券-601990.SH-实体-江苏-25.0,1-漫步者-002351.SZ-实体-深圳-5.0,3-南京证券-601990.SH-实体-江苏-25.0,8,0
0,20191218,17,12,47,54,2,7,0,0,1,19,0,0,0,22,0,0,5-东睦股份-600114.SH-实体-浙江-12.0,,4-南京证券-601990.SH-实体-江苏-30.0,1-浙商证券-601878.SH-实体-浙江-12.0,4-绿庭投资-600695.SH-实体-上海-16.0,8,0
